SessionID,Group,Date,Subject,Teacher
SESS1,A,2023-09-02,History,Mr. C
SESS2,A,2023-09-03,History,Mr. C
SESS3,A,2023-09-04,English,Mr. C
SESS4,B,2023-09-05,History,Ms. B
SESS5,B,2023-09-06,History,Mr. A
SESS6,A,2023-09-07,English,Mr. A
SESS7,B,2023-09-08,Science,Mr. A
SESS8,B,2023-09-09,Math,Ms. D
SESS9,B,2023-09-10,History,Ms. D
SESS10,C,2023-09-11,History,Mr. C
SESS11,C,2023-09-12,English,Ms. B
SESS12,A,2023-09-13,English,Ms. D
SESS13,C,2023-09-14,English,Ms. B
SESS14,C,2023-09-15,English,Mr. A
SESS15,B,2023-09-16,Science,Ms. D
SESS16,B,2023-09-17,Science,Mr. A
SESS17,A,2023-09-18,Math,Ms. D
SESS18,C,2023-09-19,Math,Mr. A
SESS19,A,2023-09-20,English,Mr. A
SESS20,A,2023-09-21,Science,Ms. B
SESS21,B,2023-09-22,Math,Mr. C
SESS22,A,2023-09-23,English,Mr. A
SESS23,A,2023-09-24,English,Ms. B
SESS24,A,2023-09-25,Science,Mr. C
SESS25,A,2023-09-26,History,Ms. B
SESS26,B,2023-09-27,Math,Ms. D
SESS27,C,2023-09-28,English,Ms. D
SESS28,B,2023-09-29,English,Mr. A
SESS29,C,2023-09-30,English,Ms. B
SESS30,A,2023-10-01,History,Mr. C
