StudentID,Name,Gender,Group,Join Date
S1000,Student_0,Male,B,2023-09-16
S1001,Student_1,Female,B,2023-09-28
S1002,Student_2,Female,C,2023-09-21
S1003,Student_3,Female,B,2023-09-22
S1004,Student_4,Male,B,2023-09-17
S1005,Student_5,Female,C,2023-09-11
S1006,Student_6,Female,A,2023-09-01
S1007,Student_7,Male,C,2023-09-03
S1008,Student_8,Female,B,2023-09-12
S1009,Student_9,Male,C,2023-09-20
S1010,Student_10,Female,B,2023-09-01
S1011,Student_11,Female,C,2023-09-10
S1012,Student_12,Female,A,2023-09-11
S1013,Student_13,Male,B,2023-09-28
S1014,Student_14,Male,A,2023-09-26
S1015,Student_15,Female,A,2023-09-15
S1016,Student_16,Male,A,2023-09-09
S1017,Student_17,Male,A,2023-09-30
S1018,Student_18,Female,A,2023-09-29
S1019,Student_19,Female,C,2023-09-23
S1020,Student_20,Male,C,2023-09-12
S1021,Student_21,Female,A,2023-09-14
S1022,Student_22,Female,C,2023-09-07
S1023,Student_23,Female,A,2023-09-19
S1024,Student_24,Male,A,2023-09-19
S1025,Student_25,Female,B,2023-09-18
S1026,Student_26,Male,C,2023-09-22
S1027,Student_27,Female,A,2023-09-07
S1028,Student_28,Female,C,2023-09-23
S1029,Student_29,Male,A,2023-09-20
S1030,Student_30,Male,A,2023-09-02
S1031,Student_31,Male,B,2023-09-17
S1032,Student_32,Female,A,2023-09-13
S1033,Student_33,Female,A,2023-09-11
S1034,Student_34,Male,B,2023-09-06
S1035,Student_35,Female,A,2023-09-21
S1036,Student_36,Male,B,2023-09-21
S1037,Student_37,Female,B,2023-09-26
S1038,Student_38,Female,C,2023-09-04
S1039,Student_39,Female,C,2023-09-19
S1040,Student_40,Male,A,2023-09-10
S1041,Student_41,Female,A,2023-10-01
S1042,Student_42,Female,B,2023-09-20
S1043,Student_43,Male,A,2023-09-17
S1044,Student_44,Male,B,2023-09-10
S1045,Student_45,Female,A,2023-09-21
S1046,Student_46,Male,C,2023-09-29
S1047,Student_47,Female,A,2023-09-19
S1048,Student_48,Female,C,2023-09-07
S1049,Student_49,Female,C,2023-09-04
